unique	unique_null	directional	directional_null	edit_distance
727	727	727	727	Single_UMI
0	0	0	0	0
0	0	0	0	1
1	0	1	0	2
1	0	1	2	3
0	0	0	0	4
4	7	4	4	5
24	12	24	14	6
56	58	56	62	7
8	16	8	14	8
2	3	2	0	9
0	0	0	0	10
