unique	unique_null	directional	directional_null	edit_distance
997	997	998	998	Single_UMI
0	0	0	0	0
1	0	0	0	1
0	0	0	0	2
0	0	0	0	3
6	1	6	1	4
4	2	4	4	5
11	4	11	10	6
12	23	12	13	7
2	7	2	8	8
2	1	2	1	9
0	0	0	0	10
